study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB2054	ERP000108	SAMEA728920	ERS006534	ERX004046	ERR011087	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM5AADCAAPE	214	PAIRED	WGS	GENOMIC	RANDOM	11640976	1024365408	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0001-BACqjjM5AADCAAPE-1	BGI-FC30JM6AAXX-4	38945;464993597;538255313	acb14196b781ec7edd70a0e8d575eb9e;a980dac29c19943ab02f60b6fd0d83d3;5c9e3785c7fc5bacc0cc0c86fe98ae06	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011087/ERR011087.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011087/ERR011087_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011087/ERR011087_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_2.fastq.gz	500933362;576575136	3eaaa0254a504fb5f86ff573c3404df9;98970f5327381f69879dcb7c3f1efd9d	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011087/MH0001_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011087/MH0001_081026_clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011087/MH0001_081026_clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011087/MH0001_081026_clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011087/MH0001_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011087/MH0001_081026_clean.2.fq.gz	FASTQ;FASTQ	651448083	d8612e898c5c8c41a60b11b4df0e0221	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011087	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011087	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011087				bgi-MH0001			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728920	ERS006534	ERX004047	ERR011088	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM5AADCAAPE	214	PAIRED	WGS	GENOMIC	RANDOM	10868175	956365520	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0001-BACqjjM5AADCAAPE-2	BGI-FC30GA4AAXX-2	32756;457094302;460590642	f6ee533d8ba383e8e52c5c51b0171078;d63520e53473b4c9c5414dc6c56aa459;141ed6ff7d7f597a0092b5e6bab2cfd5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011088/ERR011088.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011088/ERR011088_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011088/ERR011088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_2.fastq.gz	492306559;495988783	74ed0ae15c4ce8e88cb694219c1e26cc;e09ffc74bb829346b09f5106ab3c6746	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011088/MH0001_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011088/MH0001_081123_clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011088/MH0001_081123_clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011088/MH0001_081123_clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011088/MH0001_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011088/MH0001_081123_clean.2.fq.gz	FASTQ;FASTQ	588076945	efd34caf7f41c9987376a13093d01f30	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011088	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011088	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011088				bgi-MH0001			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728635	ERS006553	ERX004048	ERR011089	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM6AADAAAPE	169	PAIRED	WGS	GENOMIC	RANDOM	4190512	628486500	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0002-BACqjjM6AADAAAPE-3	BGI-FC30DYKAAXX-8	67674;149899007;155603779	50c6022c48634a8a69a2d6088883be17;cccc8720d63fa166c8f001b81e4db385;2bfb0d12789df5428a88dd56551f0475	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011089/ERR011089.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011089/ERR011089_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011089/ERR011089_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_2.fastq.gz	164260179;170167392	b2522035fd9d4b289bfcf048e38d5e44;eae09ade9cc06fdb272d64925011e5cf	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011089/MH0002_081203_clear.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011089/MH0002_081203_clear.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011089/MH0002_081203_clear.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011089/MH0002_081203_clear.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011089/MH0002_081203_clear.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011089/MH0002_081203_clear.2.fq.gz	FASTQ;FASTQ	185366103	534782f75dda342d725ae1fbe3adf06a	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011089	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011089	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011089				bgi-MH0002			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728635	ERS006553	ERX004049	ERR011090	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM6AADACAPE	139	PAIRED	WGS	GENOMIC	RANDOM	11169067	1675068750	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0002-BACqjjM6AADACAPE-4	BGI-FC30MD2AAXX-3	299147;835863686;907516069	5288ad54bdc2b45bf307da8721da2b2f;010d6b225422bb4cadf9075984db2b96;b11281806bb1986de1d6c8306f5c00d5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011090/ERR011090.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011090/ERR011090_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011090/ERR011090_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_2.fastq.gz	887095274;955608556	b1e32c75004fc3f35a1d3c769f2cbfac;2c20778f82ed22042b4603c4c31b12b0	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011090/MH0002_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011090/MH0002_081224.clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011090/MH0002_081224.clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011090/MH0002_081224.clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011090/MH0002_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011090/MH0002_081224.clean.2.fq.gz	FASTQ;FASTQ	1292427775	e8c37eba95c0e69053bb905da6b97565	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011090	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011090	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011090				bgi-MH0002			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728635	ERS006553	ERX004050	ERR011091	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM6AADFAAPE	370	PAIRED	WGS	GENOMIC	RANDOM	7928489	1189201875	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0002-BACqjjM6AADFAAPE-5	BGI-FC30VWBAAXX-2	62786;528254480;523628878	8f744b6076c2c0ea0c2c52e9a2396237;9d3389924add1dfb72eb08b699dbfaa6;dd200b25f9a4d024da24bda7122cdef0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011091/ERR011091.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011091/ERR011091_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011091/ERR011091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_2.fastq.gz	566143379;558251232	c32af2a0b52e2307d7541cc4d418e748;29537ae51f2c16ac3e6f197056317bac	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011091/MH0002_090117.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011091/MH0002_090117.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011091/MH0002_090117.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011091/MH0002_090117.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011091/MH0002_090117.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011091/MH0002_090117.2.fq.gz	FASTQ;FASTQ	749270881	78372792a0d3ce62bde41a220cecd0b4	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011091	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011091	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011091				bgi-MH0002			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728854	ERS006586	ERX004051	ERR011092	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM6ABDAAAPE	157	PAIRED	WGS	GENOMIC	RANDOM	4478452	671682300	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0003-BACqjjM6ABDAAAPE-6	BGI-FC30DYKAAXX-1	73765;169256552;184097769	e10f40cdb826179327d9105e85f2a3d0;ac2a3ac4fb6130e35400fb0985ce748b;765a6851351ce3d84be8d49ab1a2acc8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011092/ERR011092.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011092/ERR011092_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011092/ERR011092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_2.fastq.gz	184569447;199867157	daa33454234207a6e9f48f5f81c12389;5a86fb7001e096d703461bbc6891a33f	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011092/MH0003_081203.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011092/MH0003_081203.clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011092/MH0003_081203.clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011092/MH0003_081203.clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011092/MH0003_081203.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011092/MH0003_081203.clean.2.fq.gz	FASTQ;FASTQ	216433589	3c42906e7bbf0bbef6736cb2354a02b3	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011092	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011092	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011092				bgi-MH0003			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728854	ERS006586	ERX004052	ERR011093	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM6ABDACAPE	143	PAIRED	WGS	GENOMIC	RANDOM	10857325	1628500800	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0003-BACqjjM6ABDACAPE-7	BGI-FC30MD2AAXX-4	95636;780845209;866276031	3d021afc6102f4a18be615ab513ff33c;d892351eeb60f8fc47d6c6e956f7ee11;b44989bbccd438a76640b0016106487f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011093/ERR011093.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011093/ERR011093_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011093/ERR011093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_2.fastq.gz	828822601;913772073	7a429f897a008df9be61abc1e8b93d0a;ce4eb6409ed5469d66757c610d4a4058	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011093/MH0003_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011093/MH0003_081224.clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011093/MH0003_081224.clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011093/MH0003_081224.clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011093/MH0003_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011093/MH0003_081224.clean.2.fq.gz	FASTQ;FASTQ	1210643678	fe4402fbd5ff4939fc6821e42f033562	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011093	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011093	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011093				bgi-MH0003			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728854	ERS006586	ERX004053	ERR011094	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM6ABDFAAPE	357	PAIRED	WGS	GENOMIC	RANDOM	9858261	1478682075	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0003-BACqjjM6ABDFAAPE-8	BGI-FC30VYFAAXX-2	54895;803543793;800432263	7abcacbf94b206bf927b9fd8c7abff1d;6305323f03d55d52a4aabfc8a21a3980;a186355f49703c0afda44807d00ea4cf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011094/ERR011094.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011094/ERR011094_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011094/ERR011094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_2.fastq.gz	846558501;843161325	20dd2c6a4bef61f6052c826599d7979d;a7f11edb4644d1173842576cc990a860	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011094/MH0003_090107.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011094/MH0003_090107.clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011094/MH0003_090107.clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011094/MH0003_090107.clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011094/MH0003_090107.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011094/MH0003_090107.clean.2.fq.gz	FASTQ;FASTQ	1190840128	e033dc4684b4ce23dbde9bf93295717e	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011094	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011094	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011094				bgi-MH0003			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728867	ERS006589	ERX004054	ERR011095	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM5ABDCAAPE	218	PAIRED	WGS	GENOMIC	RANDOM	10813609	951350664	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0004-BACqjjM5ABDCAAPE-9	BGI-FC30JM6AAXX-6	242217;421546406;474128853	cef3e78b6e5194999d4092f12a61acd6;21c8fcc34dd8f8c0fbde248b2dcfc5f1;d91ce4367159053bf4ddcd4cfba326b0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011095/ERR011095.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011095/ERR011095_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011095/ERR011095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_2.fastq.gz	454764729;509315212	538511994a5114dda79cb949c37cee9f;346774f4fc39d0ef3a75a2c2c1a3c8d1	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011095/MH0004_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011095/MH0004_081026_clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011095/MH0004_081026_clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011095/MH0004_081026_clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011095/MH0004_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011095/MH0004_081026_clean.2.fq.gz	FASTQ;FASTQ	572460314	534f948e3dd3e8038407bb340e94f437	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011095	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011095	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011095				bgi-MH0004			0	2010-04-07
PRJEB2054	ERP000108	SAMEA728867	ERS006589	ERX004055	ERR011096	ERA000116	408170	human gut metagenome	ILLUMINA	Illumina Genome Analyzer II	BACqjjM5ABDCAAPE	218	PAIRED	WGS	GENOMIC	RANDOM	9336370	821342984	BGI	2010-04-07	2018-11-16	Illumina Genome Analyzer II paired end sequencing	A human gut microbial gene catalog established by deep metagenomic sequencing	BGI-MetaHIT	bgi-MH0004-BACqjjM5ABDCAAPE-10	BGI-FC30GA4AAXX-1	226620;344087805;336702910	3e1b7d6ca9d6ef532566d9311f0788a3;783386e0e5d388fdfd312bbd2579ea99;4c979c01db78227ceacd78e627f5a16d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011096/ERR011096.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011096/ERR011096_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR011/ERR011096/ERR011096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_2.fastq.gz	372407389;364483822	a85b54358137e6c1416fbfcf4c9c46ce;173370d1e213b55d985d08e9ae1d4a66	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011096/MH0004_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011096/MH0004_081123_clean.2.fq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011096/MH0004_081123_clean.1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR011/ERR011096/MH0004_081123_clean.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011096/MH0004_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR011/ERR011096/MH0004_081123_clean.2.fq.gz	FASTQ;FASTQ	412594793	1c424d53b6e5c854968405b9a7d8ae02	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011096	fasp.sra.ebi.ac.uk:/vol1/err/ERR011/ERR011096	ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011096				bgi-MH0004			0	2010-04-07
