study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA400072	SRP129027	SAMN08049791	SRS2832056	SRX3558845	SRR6468499	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G85089		PAIRED	WGS	METAGENOMIC	RANDOM	11775766	2327628300	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G85089	UMCG4000898.1_kneaddata_unmatched_1.fq.gz	12155;979996943;975576048	09aa94e48bd06fa4edd2306e4c6b6387;16a097da87b122718a7c8329b01613ae;54d861f55707346c5bc664a836b3a0bd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/009/SRR6468499/SRR6468499.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_2.fastq.gz							1622550697	17d13701fc9e1dd118a28e71ad811f52	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468499	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/009/SRR6468499	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468499				UMCGIBD00327				2018-01-13
PRJNA400072	SRP129027	SAMN08049792	SRS2832054	SRX3558844	SRR6468500	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G85161		PAIRED	WGS	METAGENOMIC	RANDOM	12002024	2374009249	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G85161	UMCG4081271.1_kneaddata_paired_2.fq.gz	15793;989035969;992697273	798ff279e3562d95dcca209a4cfb328d;e463e260cdd1e1b7c5fd81fddaa44a67;d168978b1e4c3082fe61d368058aea2c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/000/SRR6468500/SRR6468500.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_2.fastq.gz							1650507328	b0f08473b677d2eadd662fd87d2df604	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468500	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/000/SRR6468500	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468500				UMCGIBD00249				2018-01-13
PRJNA400072	SRP129027	SAMN08049793	SRS2832051	SRX3558843	SRR6468501	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G85315		PAIRED	WGS	METAGENOMIC	RANDOM	5077605	997635321	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G85315	UMCG4268471.1_kneaddata_unmatched_1.fq.gz	529580;408158743;396404562	ceae060c28147b0f9e9cd3fa02101bc4;d645cc7df68f0482e34fabe82a361640;c4ec1332e70a1d6507819ea8f1d287a1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/001/SRR6468501/SRR6468501.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_2.fastq.gz							681107409	d8c0c3099a65f0b29a5bf38f52994414	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468501	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/001/SRR6468501	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468501				UMCGIBD00461				2018-01-13
PRJNA400072	SRP129027	SAMN08049663	SRS2832049	SRX3558842	SRR6468502	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G36349		PAIRED	WGS	METAGENOMIC	RANDOM	17099647	3409395277	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G36349	PRISM_7941.1_kneaddata_paired_2.fq.gz	9390;1300903548;1293984105	19b729f920500a9a7f01e097416c5219;8a3f9f9ae77b778672b49b773840ad4f;7f70711aad0a3f6fe344b5800d5082b4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/002/SRR6468502/SRR6468502.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_2.fastq.gz							2095114018	42eaab2263686071d0e77984d69ea894	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468502	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/002/SRR6468502	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468502				PRISM_7941				2018-01-13
PRJNA400072	SRP129027	SAMN08049824	SRS2832053	SRX3558841	SRR6468503	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G82627		PAIRED	WGS	METAGENOMIC	RANDOM	16081331	3130743671	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G82627	LLDeep_0012.1_kneaddata_paired_1.fq.gz	3335;1437975743;1372179020	cf07101c446745c4d952eeccca1277d1;b5516ebee826490969d5ef7227b9ff2c;2c80aa9a8cbb11ce88ba4e46963d1ee2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/003/SRR6468503/SRR6468503.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_2.fastq.gz							2339307383	024f0070cf8c65fcc4fc1eb87a971963	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468503	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/003/SRR6468503	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468503				LLDeep_0012				2018-01-13
PRJNA400072	SRP129027	SAMN08049760	SRS2832052	SRX3558840	SRR6468504	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G72699		PAIRED	WGS	METAGENOMIC	RANDOM	3799470	744568350	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G72699	PRISM_8882.1_kneaddata_paired_1.fq.gz	90030;287393598;282092031	397bd0ee7d64144042e916d35b1407b1;8e9a0939bc87ca65cd5e884c18f20091;ec702cf1f61d07435ba65a8ae13901ff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/004/SRR6468504/SRR6468504.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_2.fastq.gz							471409364	da97d40736ca844e5971893af4d6d17e	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468504	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/004/SRR6468504	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468504				PRISM_8882				2018-01-13
PRJNA400072	SRP129027	SAMN08049759	SRS2832050	SRX3558839	SRR6468505	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G72671		PAIRED	WGS	METAGENOMIC	RANDOM	16532488	3259786572	SUB3239906	2018-02-03	2018-02-03	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G72671	PRISM_8878.1_kneaddata_paired_2.fq.gz	1284414980;1285537559	084cf8cb968c3dd55e6bb8cfb8b6a5c6;c894a3c5615caffc6893dae9fd62386d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_2.fastq.gz							2096167536	ffd14d31f40b32118ea53c91d1f3c40d	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468505	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/005/SRR6468505	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468505				PRISM_8878				2018-02-03
PRJNA400072	SRP129027	SAMN08049762	SRS2832047	SRX3558838	SRR6468506	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G72701		PAIRED	WGS	METAGENOMIC	RANDOM	15540806	3064975059	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G72701	PRISM_8894.1_kneaddata_paired_2.fq.gz	685467;1198881501;1201855949	1d31bc46e0229278c4560e8f2fa5bd0d;ff2a25b3309b39efb23d7f57b0ca22e1;84f3c53a1c3433cd726582ce54145e29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/006/SRR6468506/SRR6468506.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_2.fastq.gz							1958833870	553b54883e37e79425ff045a0aff447b	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468506	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/006/SRR6468506	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468506				PRISM_8894				2018-01-13
PRJNA400072	SRP129027	SAMN08049761	SRS2832046	SRX3558837	SRR6468507	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G72670		PAIRED	WGS	METAGENOMIC	RANDOM	16916036	3324329303	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G72670	PRISM_8892.1_kneaddata_paired_2.fq.gz	713037;1307649136;1304438764	5af13563d84582f703e56d37b9fb17d1;0ea112316f7e1f01d539ed3706416bdf;e4b202ec57c4ba0d5fbc3dfa0fbd9b75	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/007/SRR6468507/SRR6468507.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_2.fastq.gz							2137153608	94a31ef4496aa45b0634ef6820ac8d3d	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468507	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/007/SRR6468507	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468507				PRISM_8892				2018-01-13
PRJNA400072	SRP129027	SAMN08049764	SRS2832044	SRX3558836	SRR6468508	SRA646300	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2000	G72703		PAIRED	WGS	METAGENOMIC	RANDOM	17601528	3440319340	SUB3239906	2018-01-13	2018-01-13	Illumina HiSeq 2000 sequencing; multi&apos;omic profiles of inflammatory bowel disease: adult stool	Gut microbiome structure and metabolic activity in inflammatory bowel disease	PRJNA400072	G72703	PRISM_8924.1_kneaddata_paired_1.fq.gz	766314;1339058259;1331034069	52434e18d0ced72eda37a1d75dd85bbe;1cad3c04d8e2f22f238af00af1f2ad3f;259e51167a07491dcf35f9c634fa78cd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/008/SRR6468508/SRR6468508.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_2.fastq.gz							2191729236	e2586fb9b3eb79047573c4fc04c3fe09	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468508	fasp.sra.ebi.ac.uk:/vol1/srr/SRR646/008/SRR6468508	ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468508				PRISM_8924				2018-01-13
