study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
SRP057027	SRP057027	SAMN03469360	SRS900051	SRX1133543	SRR2145289	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5035-01		PAIRED	WGS	METAGENOMIC	PCR	23990389	4846058578		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5035-01	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5035-01	5035-01	1987844546;2001452198	c59e1c9afd4533d8d6241f6e0193cfaf;7547aa4e99b5010d1c71d42af7512532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/009/SRR2145289/SRR2145289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/009/SRR2145289/SRR2145289_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/009/SRR2145289/SRR2145289_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/009/SRR2145289/SRR2145289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/009/SRR2145289/SRR2145289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/009/SRR2145289/SRR2145289_2.fastq.gz							3145033055	f6a6379c60408e21dc5036d36daabb52	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/009/SRR2145289	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/009/SRR2145289	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/009/SRR2145289				5035-01		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469363	SRS900054	SRX1133546	SRR2145290	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5035-04		PAIRED	WGS	METAGENOMIC	PCR	12323852	2489418104		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5035-04	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5035-04	5035-04	1050881788;1069803200	06a535cb25ab55286ea9762dfa122c8b;a0b738cd2ef0ee1a3750dd6bb126d654	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/000/SRR2145290/SRR2145290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/000/SRR2145290/SRR2145290_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/000/SRR2145290/SRR2145290_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/000/SRR2145290/SRR2145290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/000/SRR2145290/SRR2145290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/000/SRR2145290/SRR2145290_2.fastq.gz							1625473362	abb307541c1d529881000792f2c171b3	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/000/SRR2145290	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/000/SRR2145290	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/000/SRR2145290				5035-04		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469372	SRS900063	SRX1133555	SRR2145291	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5040-01		PAIRED	WGS	METAGENOMIC	PCR	28129138	5682085876		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5040-01	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5040-01	5040-01	2460140186;2471452265	cee67b74a5a3df0e835b80bc18667b0b;6456fd32417ad81fa3a20c037446434c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/001/SRR2145291/SRR2145291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/001/SRR2145291/SRR2145291_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/001/SRR2145291/SRR2145291_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/001/SRR2145291/SRR2145291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/001/SRR2145291/SRR2145291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/001/SRR2145291/SRR2145291_2.fastq.gz							3776498581	4adeaa8fa5ef994aaa5f357b19b77830	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/001/SRR2145291	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/001/SRR2145291	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/001/SRR2145291				5040-01		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469373	SRS900064	SRX1133556	SRR2145292	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5040-02		PAIRED	WGS	METAGENOMIC	PCR	15525626	3136176452		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5040-02	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5040-02	5040-02	1364271623;1373310085	df29ace7fef09f8e9ff36f80bb837c0a;9fe09f6cf0c7d88b1406fbc50c917536	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/002/SRR2145292/SRR2145292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/002/SRR2145292/SRR2145292_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/002/SRR2145292/SRR2145292_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/002/SRR2145292/SRR2145292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/002/SRR2145292/SRR2145292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/002/SRR2145292/SRR2145292_2.fastq.gz							2096117541	315ab93253a7c7e76198d54374d37bbc	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/002/SRR2145292	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/002/SRR2145292	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/002/SRR2145292				5040-02		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469374	SRS900065	SRX1133557	SRR2145293	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5040-03		PAIRED	WGS	METAGENOMIC	PCR	10965932	2215118264		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5040-03	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5040-03	5040-03	969991743;975595589	c1df0b9015612903f7874237f36349cf;7427ffb00e50cbb3469d6e7ce8c3ff2d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/003/SRR2145293/SRR2145293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/003/SRR2145293/SRR2145293_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/003/SRR2145293/SRR2145293_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/003/SRR2145293/SRR2145293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/003/SRR2145293/SRR2145293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/003/SRR2145293/SRR2145293_2.fastq.gz							1487849305	67287d4ebde7ca55f753b3922d6974e0	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/003/SRR2145293	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/003/SRR2145293	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/003/SRR2145293				5040-03		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469375	SRS900066	SRX1133558	SRR2145294	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5040-04		PAIRED	WGS	METAGENOMIC	PCR	9972674	2014480148		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5040-04	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5040-04	5040-04	886331973;887356363	8766df9c28237e39157edfe00f57d241;863fc92206b1c5d26d5b1d1526bbb9bc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/004/SRR2145294/SRR2145294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/004/SRR2145294/SRR2145294_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/004/SRR2145294/SRR2145294_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/004/SRR2145294/SRR2145294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/004/SRR2145294/SRR2145294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/004/SRR2145294/SRR2145294_2.fastq.gz							1359611439	1e962f6a1a51132aa8a5144268c4f148	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/004/SRR2145294	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/004/SRR2145294	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/004/SRR2145294				5040-04		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469376	SRS900067	SRX1133559	SRR2145295	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5041-01		PAIRED	WGS	METAGENOMIC	PCR	15224247	3075297894		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5041-01	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5041-01	5041-01	1334314113;1335863456	b93d28139d418c817b6ca4391380f065;8cf03f30180b326f31addc3bd2979eb3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/005/SRR2145295/SRR2145295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/005/SRR2145295/SRR2145295_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/005/SRR2145295/SRR2145295_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/005/SRR2145295/SRR2145295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/005/SRR2145295/SRR2145295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/005/SRR2145295/SRR2145295_2.fastq.gz							2041548689	90e37102646e42fc04e35e830931086c	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/005/SRR2145295	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/005/SRR2145295	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/005/SRR2145295				5041-01		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469377	SRS900068	SRX1133560	SRR2145296	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5041-02		PAIRED	WGS	METAGENOMIC	PCR	12468150	2518566300		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5041-02	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5041-02	5041-02	1107434432;1115011174	bf05b731f166336d1011de4c088a38b7;de4c5b955a35faf62177b0ba01259f26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/006/SRR2145296/SRR2145296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/006/SRR2145296/SRR2145296_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/006/SRR2145296/SRR2145296_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/006/SRR2145296/SRR2145296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/006/SRR2145296/SRR2145296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/006/SRR2145296/SRR2145296_2.fastq.gz							1699750475	4cf0c85ba6ae311a2e90e135e00c6be1	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/006/SRR2145296	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/006/SRR2145296	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/006/SRR2145296				5041-02		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469378	SRS900069	SRX1133561	SRR2145297	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5041-03		PAIRED	WGS	METAGENOMIC	PCR	13659710	2759261420		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5041-03	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5041-03	5041-03	1197329343;1196059754	6c9259cd1877abccea3845970facb0ab;9417c12a8ce70b994a4d9cd2d1bf8c1d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/007/SRR2145297/SRR2145297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/007/SRR2145297/SRR2145297_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/007/SRR2145297/SRR2145297_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/007/SRR2145297/SRR2145297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/007/SRR2145297/SRR2145297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/007/SRR2145297/SRR2145297_2.fastq.gz							1833631688	863465d87c8585fddc0eea0f2ecf8d1e	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/007/SRR2145297	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/007/SRR2145297	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/007/SRR2145297				5041-03		Human Feces		2015-08-09
SRP057027	SRP057027	SAMN03469379	SRS900070	SRX1133562	SRR2145298	SRA252126	256318	metagenome	ILLUMINA	Illumina HiSeq 2000	5041-04		PAIRED	WGS	METAGENOMIC	PCR	11597426	2342680052		2015-08-09	2016-06-28	Illumina HiSeq 2000 sequencing; &quot;Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn&apos;s Disease&quot;: Sample 5041-04	Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease	PLEASE_COMBO	5041-04	5041-04	1018312395;1025191662	fea024dded329c7cef1018679cea8063;203ee7c744d6273f68b271eeee9b7ecc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/008/SRR2145298/SRR2145298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/008/SRR2145298/SRR2145298_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/008/SRR2145298/SRR2145298_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR214/008/SRR2145298/SRR2145298_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/008/SRR2145298/SRR2145298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/008/SRR2145298/SRR2145298_2.fastq.gz							1580716898	930ce28b3b0eb15860a8a6053d4ca992	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/008/SRR2145298	fasp.sra.ebi.ac.uk:/vol1/srr/SRR214/008/SRR2145298	ftp.sra.ebi.ac.uk/vol1/srr/SRR214/008/SRR2145298				5041-04		Human Feces		2015-08-09
