study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB7949	ERP008951	SAMEA3170869	ERS625306	ERX640079	ERR695598	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 1_1	450	PAIRED	WGS	GENOMIC	RANDOM	8971887	2709509874	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:059-1	ena-RUN-CUSB-HM-08-12-2014-14:57:13:059-1	983421269;1017845242	74c0a4ac8f2d1fcb1a6c4de0a6d369f7;fd8783efd25bd8c43cc608ad7d8bb6c6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695598/ERR695598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695598/ERR695598_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695598/ERR695598_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695598/ERR695598_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695598/ERR695598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695598/ERR695598_2.fastq.gz	1125750605;1153845999	c187c0322685662782d88070ca1bbe74;9bc916f9e51c1f3adba7d0918cd69ec4	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695598/910_LIB6632_LDI6150_GAGTGG_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695598/910_LIB6632_LDI6150_GAGTGG_L001_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695598/910_LIB6632_LDI6150_GAGTGG_L001_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695598/910_LIB6632_LDI6150_GAGTGG_L001_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695598/910_LIB6632_LDI6150_GAGTGG_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695598/910_LIB6632_LDI6150_GAGTGG_L001_R2.fastq.gz	FASTQ;FASTQ	1592630403	dca48f5477581f49e5c166c688c0ae2d	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695598	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695598	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695598				IBD_healthy_study_1		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170870	ERS625307	ERX640080	ERR695599	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 1_2	450	PAIRED	WGS	GENOMIC	RANDOM	10240770	3092712540	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:060-2	ena-RUN-CUSB-HM-08-12-2014-14:57:13:060-2	1150400281;1183802777	7b8b93ecaee5f4ba3098e256aa3b3f06;bc1b2c66172d98c46dfdc8503926e99b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695599/ERR695599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695599/ERR695599_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695599/ERR695599_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695599/ERR695599_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695599/ERR695599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695599/ERR695599_2.fastq.gz	1312996112;1338205463	906b7674db732ac2e3130430929d5176;56be9e5c996c14db6122c89a68b8e4f4	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695599/910_LIB6632_LDI6150_GAGTGG_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695599/910_LIB6632_LDI6150_GAGTGG_L002_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695599/910_LIB6632_LDI6150_GAGTGG_L002_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695599/910_LIB6632_LDI6150_GAGTGG_L002_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695599/910_LIB6632_LDI6150_GAGTGG_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695599/910_LIB6632_LDI6150_GAGTGG_L002_R2.fastq.gz	FASTQ;FASTQ	1859597115	03409f55551b180f856c2de057716a3e	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695599	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695599	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695599				IBD_healthy_study_2		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170871	ERS625308	ERX640081	ERR695600	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 2_1	450	PAIRED	WGS	GENOMIC	RANDOM	10873806	3283889412	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:060-3	ena-RUN-CUSB-HM-08-12-2014-14:57:13:060-3	1173581340;1199733041	33880958a309238736e0b1ada149b53c;18c9fea2686710e08414272b58b65db1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695600/ERR695600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695600/ERR695600_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695600/ERR695600_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695600/ERR695600_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695600/ERR695600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695600/ERR695600_2.fastq.gz	1349018442;1365469161	adafbcd4543b27ffe692d1d09f4dce11;94ca84141f38fc7f3c29ee1bc1ac593b	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695600/910_LIB6633_LDI6151_ACTGAT_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695600/910_LIB6633_LDI6151_ACTGAT_L001_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695600/910_LIB6633_LDI6151_ACTGAT_L001_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695600/910_LIB6633_LDI6151_ACTGAT_L001_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695600/910_LIB6633_LDI6151_ACTGAT_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695600/910_LIB6633_LDI6151_ACTGAT_L001_R2.fastq.gz	FASTQ;FASTQ	1895331133	ecb0666200e9962670489e2cdf85124b	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695600	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695600	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695600				IBD_healthy_study_3		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170872	ERS625309	ERX640082	ERR695601	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 2_2	450	PAIRED	WGS	GENOMIC	RANDOM	12544156	3788335112	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:060-4	ena-RUN-CUSB-HM-08-12-2014-14:57:13:061-4	1389284215;1412294287	198ca6c5c7c713b3526b85e06dbdabce;0ed1c7a6ea8bd798ead141f675887702	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695601/ERR695601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695601/ERR695601_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695601/ERR695601_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695601/ERR695601_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695601/ERR695601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695601/ERR695601_2.fastq.gz	1591719396;1602450827	f0d870a479303652c349e9841376b14a;acb65f98ab7de49ce2be5a25d732c1ce	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695601/910_LIB6633_LDI6151_ACTGAT_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695601/910_LIB6633_LDI6151_ACTGAT_L002_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695601/910_LIB6633_LDI6151_ACTGAT_L002_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695601/910_LIB6633_LDI6151_ACTGAT_L002_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695601/910_LIB6633_LDI6151_ACTGAT_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695601/910_LIB6633_LDI6151_ACTGAT_L002_R2.fastq.gz	FASTQ;FASTQ	2239377390	62689823ed4c5241e840a0d4ac3a6030	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695601	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695601	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695601				IBD_healthy_study_4		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170873	ERS625310	ERX640083	ERR695602	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 3_1	450	PAIRED	WGS	GENOMIC	RANDOM	11035664	3332770528	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:061-5	ena-RUN-CUSB-HM-08-12-2014-14:57:13:061-5	1283071673;1313249931	520b23a297f7d8f6248369c121a8bc08;21f02a2702f8225e32c039b839fdae49	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695602/ERR695602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695602/ERR695602_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695602/ERR695602_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695602/ERR695602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695602/ERR695602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695602/ERR695602_2.fastq.gz	1457535527;1477630670	fdd0eeafd3107e255c62bb36ced314c5;7a585d65bda64eb193ef128b91002699	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695602/911_LIB6634_LDI6152_CGATGT_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695602/911_LIB6634_LDI6152_CGATGT_L001_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695602/911_LIB6634_LDI6152_CGATGT_L001_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695602/911_LIB6634_LDI6152_CGATGT_L001_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695602/911_LIB6634_LDI6152_CGATGT_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695602/911_LIB6634_LDI6152_CGATGT_L001_R2.fastq.gz	FASTQ;FASTQ	2062822779	345744a16d7e7479656dcd2da6762ef8	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695602	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695602	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695602				IBD_healthy_study_5		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170874	ERS625311	ERX640084	ERR695603	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 3_2	450	PAIRED	WGS	GENOMIC	RANDOM	11060670	3340322340	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:061-6	ena-RUN-CUSB-HM-08-12-2014-14:57:13:062-6	1288321485;1319979493	22f91ad8f57861531fe2e177eee27c07;1a0e6857d8f29796c1a50d7d81895a97	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695603/ERR695603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695603/ERR695603_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695603/ERR695603_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695603/ERR695603_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695603/ERR695603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695603/ERR695603_2.fastq.gz	1462967609;1484699465	b183a11c7e073d72c766cf56debf1402;7873d41d9fb4dd98f5d5412f7fbebd5a	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695603/911_LIB6634_LDI6152_CGATGT_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695603/911_LIB6634_LDI6152_CGATGT_L002_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695603/911_LIB6634_LDI6152_CGATGT_L002_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695603/911_LIB6634_LDI6152_CGATGT_L002_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695603/911_LIB6634_LDI6152_CGATGT_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695603/911_LIB6634_LDI6152_CGATGT_L002_R2.fastq.gz	FASTQ;FASTQ	2072774463	73acafe666c64fc6fb05285489321b5d	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695603	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695603	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695603				IBD_healthy_study_6		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170875	ERS625312	ERX640085	ERR695604	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 4_1	450	PAIRED	WGS	GENOMIC	RANDOM	12788308	3862069016	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:062-7	ena-RUN-CUSB-HM-08-12-2014-14:57:13:062-7	1477504503;1507553371	613fdac8ece111fc75fab7797cc9e9d8;660eec7f17358819e653f402dd70e92e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695604/ERR695604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695604/ERR695604_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695604/ERR695604_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695604/ERR695604_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695604/ERR695604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695604/ERR695604_2.fastq.gz	1683653267;1698613418	8832723f6b1a1c63432149cb6256d0a2;5a09328f27c3be265d14bf8f01bee398	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695604/911_LIB6635_LDI6153_TTAGGC_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695604/911_LIB6635_LDI6153_TTAGGC_L001_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695604/911_LIB6635_LDI6153_TTAGGC_L001_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695604/911_LIB6635_LDI6153_TTAGGC_L001_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695604/911_LIB6635_LDI6153_TTAGGC_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695604/911_LIB6635_LDI6153_TTAGGC_L001_R2.fastq.gz	FASTQ;FASTQ	2377507911	d771ed4dba51687e6f5f2d54d82f07f8	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695604	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695604	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695604				IBD_healthy_study_7		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170876	ERS625313	ERX640086	ERR695605	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 4_2	450	PAIRED	WGS	GENOMIC	RANDOM	12826831	3873702962	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:062-8	ena-RUN-CUSB-HM-08-12-2014-14:57:13:062-8	1483814288;1516220568	0693cfefb92ecf2b1826b4708b012e49;7cc9021ad35d01452e12071d93aab721	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695605/ERR695605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695605/ERR695605_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695605/ERR695605_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695605/ERR695605_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695605/ERR695605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695605/ERR695605_2.fastq.gz	1690478178;1707946548	ca041a730c4ec37c741d5c273c49a346;1fd169699ccf350112cbbc13a6d2f672	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695605/911_LIB6635_LDI6153_TTAGGC_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695605/911_LIB6635_LDI6153_TTAGGC_L002_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695605/911_LIB6635_LDI6153_TTAGGC_L002_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695605/911_LIB6635_LDI6153_TTAGGC_L002_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695605/911_LIB6635_LDI6153_TTAGGC_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695605/911_LIB6635_LDI6153_TTAGGC_L002_R2.fastq.gz	FASTQ;FASTQ	2390009445	8ae99e63d4db68b6621859d8c901c799	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695605	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695605	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695605				IBD_healthy_study_8		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170877	ERS625314	ERX640087	ERR695606	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 5_1	450	PAIRED	WGS	GENOMIC	RANDOM	9257624	2795802448	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:063-9	ena-RUN-CUSB-HM-08-12-2014-14:57:13:063-9	1019744262;996861025	a87066b6782051bb687c1ee56cfa9dab;f441bb31c8e8b6797b93c1f56267a744	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695606/ERR695606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695606/ERR695606_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695606/ERR695606_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695606/ERR695606_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695606/ERR695606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695606/ERR695606_2.fastq.gz	1175240300;1134256707	c3965eb0a81489f217d961d276f590a0;47c4f81513882e746f8a450884bc8478	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695606/911_LIB6636_LDI6154_TGACCA_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695606/911_LIB6636_LDI6154_TGACCA_L001_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695606/911_LIB6636_LDI6154_TGACCA_L001_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695606/911_LIB6636_LDI6154_TGACCA_L001_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695606/911_LIB6636_LDI6154_TGACCA_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695606/911_LIB6636_LDI6154_TGACCA_L001_R2.fastq.gz	FASTQ;FASTQ	1633441522	de52d2b8d12571c548c39f9c3bfe8411	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695606	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695606	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695606				IBD_healthy_study_9		Analysis of the IBD microbiome.	0	2014-12-08
PRJEB7949	ERP008951	SAMEA3170878	ERS625315	ERX640088	ERR695607	ERA392763	408170	human gut metagenome	ILLUMINA	Illumina HiSeq 2500	HEALTHY 5_2	450	PAIRED	WGS	GENOMIC	RANDOM	9337203	2819835306	CUSB-HM	2015-09-01	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome	ena-STUDY-CUSB-HM-08-12-2014-14:57:19:510-27	ena-EXPERIMENT-CUSB-HM-08-12-2014-14:57:13:063-10	ena-RUN-CUSB-HM-08-12-2014-14:57:13:063-10	1027942587;1006220139	e97ca7d0c47ac32c37174194d473e188;c3503635e0ecf469ce35b70dd24f1989	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695607/ERR695607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695607/ERR695607_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695607/ERR695607_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR695/ERR695607/ERR695607_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695607/ERR695607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR695/ERR695607/ERR695607_2.fastq.gz	1184623197;1144987052	eef29ab5530d8f1aa9e31c339e35e90f;559b3d3ec2df6ef61d3500355ee3dc09	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695607/911_LIB6636_LDI6154_TGACCA_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695607/911_LIB6636_LDI6154_TGACCA_L002_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695607/911_LIB6636_LDI6154_TGACCA_L002_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR695/ERR695607/911_LIB6636_LDI6154_TGACCA_L002_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695607/911_LIB6636_LDI6154_TGACCA_L002_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR695/ERR695607/911_LIB6636_LDI6154_TGACCA_L002_R2.fastq.gz	FASTQ;FASTQ	1647655453	1cf78f76d14a6db0bf266128d33ac2e7	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695607	fasp.sra.ebi.ac.uk:/vol1/err/ERR695/ERR695607	ftp.sra.ebi.ac.uk/vol1/err/ERR695/ERR695607				IBD_healthy_study_10		Analysis of the IBD microbiome.	0	2014-12-08
