study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA384246	SRP193874	SAMN06831116	SRS4673151	SRX5736295	SRR8956513	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G98773		SINGLE	WGS	GENOMIC	RANDOM	11674424	2358233648	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G98773	G98773.1.fq.gz	618549574;595066385	13388940cbcfc4572a3f2c41f5ab3d8b;b19121f6c63bf56da4ac7b8184c1c8e3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/003/SRR8956513/SRR8956513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/003/SRR8956513/SRR8956513_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/003/SRR8956513/SRR8956513_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/003/SRR8956513/SRR8956513_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/003/SRR8956513/SRR8956513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/003/SRR8956513/SRR8956513_2.fastq.gz							977643741	136421cc0d60d881b66752ed7a8aab1e	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/003/SRR8956513	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/003/SRR8956513	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/003/SRR8956513				G98773		G98773		2019-04-29
PRJNA384246	SRP193874	SAMN06831117	SRS4673150	SRX5736294	SRR8956514	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G89909		SINGLE	WGS	GENOMIC	RANDOM	19172368	3872818336	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G89909	G89909.1.fq.gz	1137653489;1104441562	2688a8ae91cd6d6fc02ae4fb0a53fa7b;5b3f9dcf6508b9ef73101c5a45e5bfbe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/004/SRR8956514/SRR8956514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/004/SRR8956514/SRR8956514_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/004/SRR8956514/SRR8956514_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/004/SRR8956514/SRR8956514_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/004/SRR8956514/SRR8956514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/004/SRR8956514/SRR8956514_2.fastq.gz							1784175792	cb5def48a03073745286f134dde9816c	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/004/SRR8956514	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/004/SRR8956514	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/004/SRR8956514				G89909		G89909		2019-04-29
PRJNA384246	SRP193874	SAMN06831118	SRS4673149	SRX5736293	SRR8956515	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G89908		SINGLE	WGS	GENOMIC	RANDOM	20505089	4142027978	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G89908	G89908.1.fq.gz	1237756374;1207911982	122d20a6eb4b963417ad1b3101b7e6ff;a29d4959a31868423eb78841ff857047	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/005/SRR8956515/SRR8956515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/005/SRR8956515/SRR8956515_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/005/SRR8956515/SRR8956515_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/005/SRR8956515/SRR8956515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/005/SRR8956515/SRR8956515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/005/SRR8956515/SRR8956515_2.fastq.gz							1989978409	203ded625a5c910cb34ac1d138e63182	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/005/SRR8956515	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/005/SRR8956515	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/005/SRR8956515				G89908		G89908		2019-04-29
PRJNA384246	SRP193874	SAMN06831119	SRS4673148	SRX5736292	SRR8956516	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G89905		SINGLE	WGS	GENOMIC	RANDOM	7478715	1510700430	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G89905	G89905.1.fq.gz	443119408;437951816	6631442213b8df497f44e7f1353823e5;f49ac1a01b16672c3591866dd8324fd2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/006/SRR8956516/SRR8956516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/006/SRR8956516/SRR8956516_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/006/SRR8956516/SRR8956516_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/006/SRR8956516/SRR8956516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/006/SRR8956516/SRR8956516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/006/SRR8956516/SRR8956516_2.fastq.gz							697697901	f7926d16e7e07e484c0fec23e6d42b30	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/006/SRR8956516	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/006/SRR8956516	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/006/SRR8956516				G89905		G89905		2019-04-29
PRJNA384246	SRP193874	SAMN06831120	SRS4673147	SRX5736291	SRR8956517	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G89904		SINGLE	WGS	GENOMIC	RANDOM	17446838	3524261276	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G89904	G89904.1.fq.gz	1044396073;1024222201	960d1834be55b75e3853c393e4868b8a;af619c8ccc537112cec578a5c82b49d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/007/SRR8956517/SRR8956517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/007/SRR8956517/SRR8956517_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/007/SRR8956517/SRR8956517_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/007/SRR8956517/SRR8956517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/007/SRR8956517/SRR8956517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/007/SRR8956517/SRR8956517_2.fastq.gz							1699995536	c248344d489888c340e19af51ab03dd6	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/007/SRR8956517	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/007/SRR8956517	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/007/SRR8956517				G89904		G89904		2019-04-29
PRJNA384246	SRP193874	SAMN06831121	SRS4673146	SRX5736290	SRR8956518	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G89907		SINGLE	WGS	GENOMIC	RANDOM	17461913	3527306426	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G89907	G89907.1.fq.gz	1078763075;1070767907	0a4500fd3d1597eb44bb27e993d76e65;7461d84714b90a16f6769337e0bd01a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/008/SRR8956518/SRR8956518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/008/SRR8956518/SRR8956518_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/008/SRR8956518/SRR8956518_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/008/SRR8956518/SRR8956518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/008/SRR8956518/SRR8956518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/008/SRR8956518/SRR8956518_2.fastq.gz							1735536473	ffa2b26eac4f2929f0937011ee7faabc	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/008/SRR8956518	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/008/SRR8956518	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/008/SRR8956518				G89907		G89907		2019-04-29
PRJNA384246	SRP193874	SAMN06831122	SRS4673145	SRX5736289	SRR8956519	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G89901		SINGLE	WGS	GENOMIC	RANDOM	9010533	1820127666	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G89901	G89901.1.fq.gz	581617630;534728686	3ef0077e58f16b92e565aea856c580bc;d9f54979d1df47f3b22ffcf364340474	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/009/SRR8956519/SRR8956519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/009/SRR8956519/SRR8956519_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/009/SRR8956519/SRR8956519_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/009/SRR8956519/SRR8956519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/009/SRR8956519/SRR8956519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/009/SRR8956519/SRR8956519_2.fastq.gz							877356457	7e72cb28b045b879ee60140e3391c92d	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/009/SRR8956519	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/009/SRR8956519	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/009/SRR8956519				G89901		G89901		2019-04-29
PRJNA384246	SRP193874	SAMN06831123	SRS4673144	SRX5736288	SRR8956520	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G89900		SINGLE	WGS	GENOMIC	RANDOM	18287789	3694133378	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G89900	G89900.1.fq.gz	1036288054;1031270570	961a2a0b8966e8fd08fb8843e6c9e62c;e39502e359fb2e4a9f453323bbb92351	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/000/SRR8956520/SRR8956520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/000/SRR8956520/SRR8956520_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/000/SRR8956520/SRR8956520_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/000/SRR8956520/SRR8956520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/000/SRR8956520/SRR8956520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/000/SRR8956520/SRR8956520_2.fastq.gz							1684961917	d45e73fcd60302ee38838a783cdffdad	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/000/SRR8956520	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/000/SRR8956520	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/000/SRR8956520				G89900		G89900		2019-04-29
PRJNA384246	SRP193874	SAMN06831114	SRS4673143	SRX5736287	SRR8956521	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G98770		SINGLE	WGS	GENOMIC	RANDOM	12148725	2454042450	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G98770	G98770.1.fq.gz	632385835;611980494	e58c41a288bb04b283d73cc909a986e9;6a38018eac1ad0551de6f0ade9da2b15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/001/SRR8956521/SRR8956521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/001/SRR8956521/SRR8956521_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/001/SRR8956521/SRR8956521_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/001/SRR8956521/SRR8956521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/001/SRR8956521/SRR8956521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/001/SRR8956521/SRR8956521_2.fastq.gz							1005018479	46a29fd12c2a3404f7634ff0b0189f0d	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/001/SRR8956521	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/001/SRR8956521	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/001/SRR8956521				G98770		G98770		2019-04-29
PRJNA384246	SRP193874	SAMN06831115	SRS4673142	SRX5736286	SRR8956522	SRA879586	408170	human gut metagenome	ILLUMINA	NextSeq 500	G98771		SINGLE	WGS	GENOMIC	RANDOM	32800876	6625776952	SUB5191696	2019-04-29	2019-04-29	NextSeq 500 sequencing; metagenomic sequencing of human stool: IBD patients treated biologic therapies	Studies of metagenomes of inflammatory bowel disease patient receiving vedolizamub therapy	PRJNA384246	G98771	G98771.1.fq.gz	1719547998;1659163787	739288bcd6a1b4352e13c5a7dc39a91a;d6631ac15627be3573da9ff7972dd4cf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/002/SRR8956522/SRR8956522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/002/SRR8956522/SRR8956522_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/002/SRR8956522/SRR8956522_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR895/002/SRR8956522/SRR8956522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/002/SRR8956522/SRR8956522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/002/SRR8956522/SRR8956522_2.fastq.gz							2796945992	ace512fe814adcf1e6e9b0fc256f9a1f	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/002/SRR8956522	fasp.sra.ebi.ac.uk:/vol1/srr/SRR895/002/SRR8956522	ftp.sra.ebi.ac.uk/vol1/srr/SRR895/002/SRR8956522				G98771		G98771		2019-04-29
