Table S1.  List of 76 Universal single-copy genes (USiCGs). USiCGs were defined as KEGG Orthology groups (KOs) that appear in at least 2313 (91.5%) of bacterial and archaeal genomes in KEGG. This threshold was selected based on the list of markers in PhyloSift (http://phylosift.wordpress.com/tutorials/scripts-markers/),,,,,,,
,,,,,,,
KO,#species,#genes,average copy-number,std copy-number,Phylosift Marker?,,
K00133,2319,2497,1.08,0.28,,,
K00789,2347,2552,1.09,0.31,,,
K00927,2422,2469,1.02,0.14,,,
K00939,2464,2628,1.07,0.28,,,
K01689,2414,2573,1.07,0.30,,,
K01803,2417,2616,1.08,0.30,,,
K01866,2476,2627,1.06,0.24,,,
K01867,2477,2714,1.10,0.30,,,
K01868,2470,2634,1.07,0.26,,,
K01869,2477,2541,1.03,0.16,,,
K01870,2465,2528,1.03,0.16,,,
K01872,2474,2511,1.01,0.12,,,
K01873,2487,2510,1.01,0.10,,,
K01874,2473,2601,1.05,0.25,,,
K01875,2480,2534,1.02,0.15,,,
K01876,2478,2527,1.02,0.14,,,
K01881,2479,2597,1.05,0.21,,,
K01883,2446,2509,1.03,0.16,,,
K01887,2460,2559,1.04,0.20,,,
K01889,2482,2515,1.01,0.12,,,
K01890,2460,2466,1.00,0.05,,,
K01892,2472,2550,1.03,0.17,,,
K01937,2388,2404,1.01,0.08,,,
K02357,2318,2321,1.00,0.04,,,
K02519,2313,2322,1.00,0.06,yes,,
K02528,2464,2499,1.01,0.12,,,
K02600,2468,2480,1.00,0.08,,,
K02601,2462,2562,1.04,0.27,,,
K02835,2323,2327,1.00,0.04,,,
K02838,2324,2328,1.00,0.04,,,
K02863,2476,2479,1.00,0.03,yes,,
K02864,2466,2469,1.00,0.03,yes,,
K02867,2479,2493,1.01,0.08,yes,,
K02871,2479,2483,1.00,0.04,yes,,
K02874,2470,2478,1.00,0.06,yes,,
K02876,2483,2486,1.00,0.03,yes,,
K02878,2326,2330,1.00,0.04,yes,,
K02879,2315,2320,1.00,0.05,,,
K02881,2474,2477,1.00,0.03,yes,,
K02884,2315,2318,1.00,0.04,,,
K02886,2484,2489,1.00,0.04,yes,,
K02887,2325,2327,1.00,0.03,,,
K02890,2475,2480,1.00,0.04,yes,,
K02892,2467,2472,1.00,0.04,,,
K02895,2465,2475,1.00,0.06,yes,,
K02904,2435,2438,1.00,0.04,yes,,
K02906,2483,2490,1.00,0.05,yes,,
K02926,2329,2335,1.00,0.05,yes,,
K02931,2477,2480,1.00,0.03,yes,,
K02933,2482,2485,1.00,0.03,yes,,
K02946,2466,2473,1.00,0.05,yes,,
K02948,2460,2465,1.00,0.05,yes,,
K02950,2461,2470,1.00,0.06,yes,,
K02952,2475,2479,1.00,0.04,yes,,
K02956,2462,2467,1.00,0.05,yes,,
K02961,2456,2461,1.00,0.05,yes,,
K02965,2461,2466,1.00,0.05,yes,,
K02967,2479,2482,1.00,0.03,yes,,
K02982,2484,2488,1.00,0.04,yes,,
K02986,2485,2565,1.03,0.19,,,
K02988,2477,2480,1.00,0.03,yes,,
K02992,2472,2480,1.00,0.06,yes,,
K02994,2483,2486,1.00,0.03,yes,,
K02996,2477,2481,1.00,0.04,yes,,
K03040,2320,2361,1.02,0.14,,,
K03076,2465,2575,1.04,0.21,,,
K03106,2435,2438,1.00,0.04,,,
K03110,2438,2441,1.00,0.04,,,
K03438,2322,2350,1.01,0.11,,,
K03470,2350,2364,1.01,0.08,,,
K03664,2317,2324,1.00,0.05,,,
K03687,2373,2450,1.03,0.19,,,
K03702,2318,2323,1.00,0.05,,,
K06942,2460,2493,1.01,0.12,,,
K09903,2458,2495,1.02,0.12,,,
K10773,2348,2499,1.06,0.29,,,
